2019-12-17 16:03:30 INFO  CutePressDemo:51 - ****** Launching the chrome browser ****************
2019-12-17 16:03:33 INFO  CutePressDemo:34 - ****** Opening the URL ****************
2019-12-17 16:03:51 INFO  CutePressDemo:46 - 74705: We are searching for the this SKUCode.
2019-12-17 16:03:51 INFO  CutePressDemo:48 - click on the search button.
2019-12-17 16:03:57 INFO  CutePressDemo:53 - 
2019-12-17 16:03:57 INFO  CutePressDemo:54 - No Product is available for this SKU.
2019-12-17 16:03:57 INFO  CutePressDemo:46 - 70286: We are searching for the this SKUCode.
2019-12-17 16:03:57 INFO  CutePressDemo:48 - click on the search button.
2019-12-17 16:04:02 INFO  CutePressDemo:46 - 74535: We are searching for the this SKUCode.
2019-12-17 16:04:02 INFO  CutePressDemo:48 - click on the search button.
2019-12-17 16:04:08 INFO  CutePressDemo:58 - ROSE GOLD EDITION BLENDING BRUSH
2019-12-17 16:04:08 INFO  CutePressDemo:59 - $8
2019-12-17 16:04:08 INFO  CutePressDemo:46 - 74536: We are searching for the this SKUCode.
2019-12-17 16:04:08 INFO  CutePressDemo:48 - click on the search button.
2019-12-17 16:04:14 INFO  CutePressDemo:58 - ROSE GOLD EDITION PENCIL BRUSH
2019-12-17 16:04:14 INFO  CutePressDemo:59 - $5
2019-12-17 16:04:14 INFO  CutePressDemo:46 - 74936: We are searching for the this SKUCode.
2019-12-17 16:04:14 INFO  CutePressDemo:48 - click on the search button.
2019-12-17 16:04:19 INFO  CutePressDemo:46 - 74987: We are searching for the this SKUCode.
2019-12-17 16:04:19 INFO  CutePressDemo:48 - click on the search button.
2019-12-17 16:04:24 INFO  CutePressDemo:46 - 74777: We are searching for the this SKUCode.
2019-12-17 16:04:24 INFO  CutePressDemo:48 - click on the search button.
2019-12-17 16:04:29 INFO  CutePressDemo:46 - 70286: We are searching for the this SKUCode.
2019-12-17 16:04:29 INFO  CutePressDemo:48 - click on the search button.
2019-12-17 16:04:34 INFO  CutePressDemo:53 - 
2019-12-17 16:04:34 INFO  CutePressDemo:54 - No Product is available for this SKU.
